gene	betweenness	eigenvector
VGF	0.000000	0.002895
C3AR1	8.000000	0.001477
VTN	47.000000	0.011964
ETS1	138.000000	0.003855
NKX6-1	0.000000	0.000157
BMP2	2.000000	0.000273
CSF2RA	0.000000	0.000073
PTPRC	129.500000	0.001299
LYN	763.000000	0.024130
GAB2	23.000000	0.005305
CETP	0.000000	0.000048
SLAMF1	91.500000	0.001832
TFEB	0.000000	0.002536
CTNNBIP1	5.000000	0.001747
RHOQ	46.000000	0.013919
FCER2	16.000000	0.000205
SRF	3.000000	0.004193
ELK1	11.000000	0.005991
OXT	101.000000	0.000445
RPS3	2769.500000	0.044104
RELA	979.000000	0.046902
DTX2	6640.000000	0.009380
UNC5D	0.000000	0.001205
PTPRM	0.000000	0.002787
SKP2	526.000000	0.010110
RRAGB	0.000000	0.002565
AVP	6.000000	0.000222
AVPR2	29.000000	0.001465
LPAR6	0.000000	0.001159
FRS2	298.000000	0.004765
CAMK1D	142.000000	0.002106
CLTA	1164.000000	0.017224
AP2M1	3020.000000	0.023374
EZR	54.000000	0.033624
ITK	22.000000	0.003373
BCL2A1	1.000000	0.001246
DCN	71.000000	0.000670
CCNE1	23.500000	0.006591
IRF4	48.000000	0.002508
GLDN	0.000000	0.000000
NRCAM	0.000000	0.003476
CNGB1	0.000000	0.000263
PLEKHM2	3.000000	0.000883
KLC3	31.500000	0.004177
MMP7	1.000000	0.000570
VWF	0.000000	0.001821
MEF2B	0.000000	0.000082
BID	1.000000	0.008486
PRNP	46312.833333	0.063700
PRKCZ	147.000000	0.018245
TIMP3	478.000000	0.002178
TTF1	2.000000	0.008327
LY9	0.000000	0.000279
PENK	0.000000	0.000201
OGFR	5.000000	0.005391
SLC8A2	0.000000	0.001954
ITGA2B	0.000000	0.001462
XIAP	700.500000	0.009932
CSF3R	72.000000	0.000714
CALCA	0.000000	0.000284
CALCRL	0.000000	0.000026
CCL24	1.000000	0.000255
MPO	22.500000	0.001692
STAT4	37.000000	0.001277
OPTN	800.500000	0.021513
SP1	4100.333333	0.016665
ATP2A1	24.500000	0.015140
NTRK3	135.000000	0.013521
BUB1B	384.000000	0.009982
PALB2	25.000000	0.003590
LFNG	0.000000	0.001953
CASP10	4.000000	0.001347
GNAT3	0.000000	0.001843
FARP2	0.000000	0.008231
B2M	45.000000	0.003412
MAPT	202.000000	0.046823
NFIL3	1.000000	0.001782
SPEN	283.500000	0.009297
RBPJL	0.000000	0.000985
BIRC2	315.000000	0.006831
RXFP4	0.000000	0.000177
GNAO1	433.500000	0.003417
ADCY2	0.000000	0.000551
TYR	0.000000	0.000131
NCBP1	135.500000	0.027755
NCBP2	0.000000	0.011212
CADM3	8.000000	0.000425
APOB	166.000000	0.007116
LDLR	689.500000	0.014017
NSMAF	0.000000	0.003526
SMPD2	35.000000	0.001014
MAG	0.000000	0.000950
PIKFYVE	281.000000	0.004195
HCST	53.000000	0.003016
IL1RAPL1	0.000000	0.000585
PTPRD	10.000000	0.002468
AGRP	0.000000	0.000454
MC3R	0.000000	0.000483
NTF4	0.000000	0.000182
NTRK2	33.000000	0.004039
RUNX3	9054.000000	0.002753
F3	0.000000	0.001385
ZBTB17	47.000000	0.003083
ASAP1	519.500000	0.004868
CYP19A1	0.000000	0.001051
LRRC4C	41.000000	0.001283
MC1R	0.000000	0.000907
HRH2	0.000000	0.000000
FSHR	0.000000	0.000325
TGFBR2	1163.000000	0.007173
HTT	88.500000	0.015990
KCNJ10	0.000000	0.001738
KCNK3	0.000000	0.000295
SMURF1	312.500000	0.023993
BCL10	10.000000	0.002133
NOTCH2	7328.500000	0.010986
CGA	0.000000	0.000621
LHCGR	0.000000	0.000125
CALR	892.500000	0.022892
LRP1	343.000000	0.008968
RAB4A	7.000000	0.018797
RUFY2	55.000000	0.002521
ELMO2	11.000000	0.005411
HIP1	84.500000	0.007378
TBC1D1	361.000000	0.004104
RAB10	176.000000	0.017301
TUBB3	411.500000	0.022986
UPF1	20.500000	0.039012
EPHA2	2260.500000	0.024370
RASA1	415.500000	0.006539
FBXW11	3155.500000	0.016069
PEX1	265.000000	0.003050
PEX6	59.000000	0.002274
MATK	0.000000	0.002640
SH2B3	2.000000	0.001352
IRF9	151.500000	0.001069
ADAR	455.500000	0.020431
RGS2	4.000000	0.003345
RHO	0.000000	0.000273
GNAT1	0.000000	0.000068
TICAM2	0.000000	0.000539
RAB33B	1.000000	0.002154
ATG16L1	296.500000	0.048484
HSPB2	3110.000000	0.004051
CKS1B	20.000000	0.002746
TRIM5	19.000000	0.004642
ADCY5	41.000000	0.000260
PARK7	746.000000	0.018174
TNFSF14	18.000000	0.002105
TNFRSF14	22.000000	0.001221
BOC	0.000000	0.000617
VIP	2.000000	0.000536
VIPR1	16.000000	0.004817
AGER	2.000000	0.001044
TACR2	0.000000	0.000000
RFX5	3.000000	0.003405
TFAP4	9.000000	0.005855
CDKN1A	117.000000	0.016017
CR2	123.500000	0.000599
ABCB1	101.000000	0.002684
ZYX	2991.500000	0.014853
ITGA5	4576.000000	0.006010
PTPRB	1.000000	0.001362
NOS3	15.000000	0.002416
REN	0.000000	0.000144
YAP1	4877.333333	0.046561
BIRC5	215.500000	0.006038
VAMP2	5.000000	0.008704
CALCR	0.000000	0.000195
PHKA1	8.000000	0.003518
AFF4	308.000000	0.005816
NAIP	0.000000	0.000453
NLRC4	0.000000	0.000862
BAG4	649.000000	0.007120
ATM	1748.000000	0.014345
FPR1	7.500000	0.002461
PTCRA	0.000000	0.000698
PARD6A	0.000000	0.002944
F11R	0.000000	0.000970
LEMD3	641.000000	0.013320
PIP5K1C	128.000000	0.002768
REL	6963.333333	0.007010
NR1D1	0.000000	0.000765
AR	29401.333333	0.032427
KLK3	13.333333	0.001349
HLA-DMA	4.000000	0.000439
CGN	7.000000	0.007800
ARHGEF18	0.000000	0.003369
PRKAA1	957.000000	0.012271
RASSF6	0.000000	0.000454
STK3	51.000000	0.009317
TELO2	126.000000	0.007057
ACP5	0.000000	0.001118
IL21	2.000000	0.000350
ATP6AP1	122.000000	0.007123
SH3GLB1	50.000000	0.003879
UVRAG	0.000000	0.004138
BAD	831.500000	0.004878
NR3C2	9.000000	0.001743
IL1RAP	9.000000	0.002098
TNFRSF1B	337.000000	0.004119
PEX5L	0.000000	0.001511
PEX14	249.500000	0.007676
THRB	0.000000	0.002133
RHEB	2.000000	0.005691
NTF3	6.000000	0.000962
IL13RA2	0.000000	0.002354
AGT	0.000000	0.002331
EDNRA	44.000000	0.000962
LRFN5	0.000000	0.000044
CLEC1B	0.000000	0.000389
OLR1	102.000000	0.001406
RHBDF1	1.000000	0.001786
FRMD8	0.000000	0.001550
SORBS1	394.500000	0.005243
CCL22	11.000000	0.001102
CCR4	104.000000	0.000719
CD79B	218.000000	0.003200
FBXO5	0.000000	0.002853
CRH	101.000000	0.000312
S1PR4	5.000000	0.002140
HEG1	1.000000	0.001068
GHSR	0.000000	0.000138
CDH17	7.000000	0.000137
HK1	24.000000	0.014707
TXNIP	6.000000	0.012000
TXN2	1056.000000	0.004243
CXCL10	1.000000	0.000052
IL3	0.000000	0.000358
CYSLTR1	0.000000	0.000003
RNF125	0.000000	0.002077
LIF	1.000000	0.000128
IRF8	10.000000	0.002967
NFYB	4.000000	0.003127
PRL	0.000000	0.000262
PPP1R13L	0.000000	0.006638
S1PR2	36.000000	0.000840
CHRM3	0.000000	0.002699
CCNT1	6827.000000	0.013797
FCER1A	4.000000	0.000766
TRPM8	0.000000	0.001339
HSD3B1	1.000000	0.001028
ELMO1	200.000000	0.002225
CCM2	4.000000	0.002468
PDCD10	31.000000	0.005437
GCC2	93.000000	0.007153
STX10	87.000000	0.004967
SH3BP2	0.000000	0.001976
CITED2	0.000000	0.000813
BNIP3L	2.000000	0.002456
CAV3	71.000000	0.001082
CCR2	13.000000	0.000874
MAPK8IP2	24.000000	0.001942
MAP4K1	5.000000	0.006123
SLAMF6	3.000000	0.000242
EDNRB	11.000000	0.001011
ABLIM3	0.000000	0.001529
AMH	0.000000	0.000509
AMHR2	0.000000	0.002313
FGA	55.000000	0.004611
ATP6AP2	100.500000	0.011618
RAB11A	347.000000	0.032837
RRAGD	1.000000	0.001857
CXCL11	0.000000	0.000057
CYP27B1	0.000000	0.000154
HRH1	0.000000	0.000763
GZMB	8.500000	0.000382
DFFA	0.000000	0.005799
CUL3	23854.833333	0.098227
SPOPL	9.000000	0.000590
TNFSF18	2.000000	0.000848
TNFRSF18	1.000000	0.000419
CTLA4	41.000000	0.001589
SLC7A5	53.000000	0.017225
MX1	828.500000	0.003138
FGR	60.000000	0.006548
LRPAP1	42.000000	0.009631
RAB7A	34.500000	0.038861
LAMP1	225.000000	0.025261
CCL25	2.000000	0.000156
CCR9	1.000000	0.000490
RNF152	5.000000	0.000173
VAPB	213.333333	0.021053
MAPKAPK5	3.000000	0.004280
HSPB1	3772.500000	0.038232
BRCA2	1340.500000	0.011932
PTGS1	0.000000	0.001344
OAS1	78.000000	0.001084
FOXM1	68.500000	0.004986
TLR6	12.000000	0.000204
TLR2	159.000000	0.000714
LMNA	9269.000000	0.052552
STIP1	496.000000	0.060281
NLK	1.000000	0.002640
CCL26	9.000000	0.000619
PDK2	2.000000	0.001940
IL23A	8.000000	0.000126
CTSG	16.000000	0.002013
GABRA1	1.000000	0.009230
GPHN	88.000000	0.007230
RSAD2	250.500000	0.000767
FDPS	5.000000	0.012000
ASIP	2.000000	0.000575
CFTR	8810.333333	0.055410
TACR1	200.000000	0.001192
CTSD	60.000000	0.011491
MMP1	1.000000	0.000620
PCSK9	0.000000	0.002330
GAL	2.000000	0.001152
GALR1	0.000000	0.000119
PCYT1A	2.000000	0.005231
STX7	560.500000	0.022746
PDE1A	0.000000	0.000550
TIFA	67.000000	0.001658
IFIT1	2231.500000	0.005651
EIF3E	148.500000	0.025737
ID1	42.000000	0.001682
INSL3	20.000000	0.000895
LZTS2	725.500000	0.012922
PIK3C2A	611.000000	0.011651
GNA12	2.000000	0.002360
RASA2	89.000000	0.000884
FOSL1	21.000000	0.002263
ARAP3	2.000000	0.003972
PVR	10.000000	0.005265
CSNK1A1L	0.000000	0.005754
PLA2R1	0.000000	0.000086
SPN	84.000000	0.002549
SIGLEC1	0.000000	0.000632
ACHE	1.000000	0.000297
FOSB	3.000000	0.001341
CD79A	313.000000	0.003461
CER1	0.000000	0.000628
RAC2	667.500000	0.024468
CNR1	3.500000	0.000136
PECAM1	94.000000	0.000981
SYCP3	1.000000	0.000952
LIPE	4.000000	0.000746
OXTR	0.000000	0.000378
FAS	37.500000	0.013202
MLLT1	3.000000	0.008037
AURKA	1513.500000	0.030870
CPEB2	3.000000	0.001694
CYLD	1378.500000	0.036414
CSF2RB	0.000000	0.000800
TLR5	2.000000	0.000331
REG4	0.000000	0.000214
THBS1	115.500000	0.004171
IAPP	0.000000	0.000002
PPP1R15A	0.000000	0.003035
LEFTY1	0.000000	0.000076
NODAL	0.000000	0.000085
KISS1R	0.000000	0.000019
FERMT3	4.000000	0.002880
PKN3	6.000000	0.006091
MYLIP	11.500000	0.001000
DAB2IP	15.000000	0.005159
SLC12A2	61.500000	0.013298
BIK	72.000000	0.001656
CCL28	50.000000	0.000181
USP21	2.000000	0.005794
NRP1	33.000000	0.012343
GCGR	5.000000	0.002293
CDKN1B	1258.000000	0.007505
RELB	12.000000	0.003117
NR5A2	0.000000	0.001494
PTPRS	1.000000	0.005172
ACACB	136.000000	0.005887
WEE2	0.000000	0.000000
CTSK	1.000000	0.000406
MEF2C	257.000000	0.001301
CHMP5	40.000000	0.008235
VPS4A	0.000000	0.006787
DPYSL5	8.000000	0.008245
ATXN1L	487.000000	0.003133
SORT1	184.000000	0.008886
LRRC32	0.000000	0.001220
TRPV2	0.000000	0.000029
LATS2	390.833333	0.010578
APP	10999.000000	0.052262
NAE1	1.000000	0.009535
CCR1	2982.000000	0.004810
NSF	266.500000	0.016660
SVIP	6.000000	0.000865
NPLOC4	7.500000	0.011387
CHRM5	3.000000	0.000698
PDCD1LG2	94.000000	0.000471
GNG12	304.500000	0.006205
MSI2	165.000000	0.010246
PABPC4L	3.000000	0.002447
RSPO1	0.000000	0.000478
LGR4	1413.500000	0.010656
CYP24A1	0.000000	0.001427
SLC44A3	0.000000	0.002067
RXFP3	0.000000	0.001131
TNFAIP3	552.000000	0.006939
SENP2	201.000000	0.009234
SEMA7A	0.000000	0.000565
PUM2	181.500000	0.007958
TAC1	101.000000	0.000014
IGF2	13.000000	0.001347
BMP4	7.000000	0.006711
NGF	0.000000	0.000208
CXCL9	120.500000	0.000392
PKN1	160.500000	0.007029
ROBO3	11.000000	0.000423
ROBO1	46.000000	0.005812
RB1CC1	123.500000	0.015871
CD48	2.000000	0.001079
BANK1	0.000000	0.000996
NR4A2	0.000000	0.000926
EGF	0.000000	0.001869
MYO6	219.000000	0.025168
DOCK4	0.000000	0.005669
TLR1	71.000000	0.000143
LY96	1.000000	0.000141
PBX1	337.500000	0.002624
VANGL2	53.000000	0.010047
VTA1	3.000000	0.009484
IL21R	0.000000	0.000184
SEMA3A	0.000000	0.001207
CSE1L	123.500000	0.023184
KPNA1	50.000000	0.023054
BMP3	0.000000	0.000322
ACVR2B	50.000000	0.002439
EHMT2	13.000000	0.013562
KAT5	79.500000	0.012132
GUCY1A2	0.000000	0.000648
ITGA4	1600.500000	0.028924
SERPINB6	31.000000	0.005876
DMD	439.500000	0.005342
FFAR1	0.000000	0.004043
PLCE1	0.000000	0.001048
DISP1	0.000000	0.001429
MAX	4.000000	0.009474
BCL3	1.000000	0.003653
MDM4	138.000000	0.005783
CHD8	2246.833333	0.017081
DNAJC3	99.500000	0.011596
S1PR1	166.500000	0.002406
PDGFRB	1178.500000	0.008014
DDIT4	0.000000	0.002004
HDAC1	944.000000	0.054237
PNOC	0.000000	0.000661
TMEM53	0.000000	0.000626
SCN1B	0.000000	0.000312
INVS	0.000000	0.001521
PSME3	334.000000	0.021743
GRAP2	123.000000	0.003040
ACVR2A	29.500000	0.001191
GNA15	0.000000	0.001120
DAG1	186.500000	0.005982
BATF	0.000000	0.000399
HHEX	1.000000	0.000988
PIK3C3	36.000000	0.007948
TNNI3	0.000000	0.000473
CHMP7	0.000000	0.005002
CHMP4B	2216.500000	0.035867
MYO1H	0.000000	0.001434
HTR2A	0.000000	0.000338
LPAR1	274.500000	0.002218
DAAM1	65.000000	0.003848
GNRH1	3.000000	0.000287
SOX9	1.000000	0.006239
PEX7	1.000000	0.002019
RAPGEF5	5.000000	0.000796
RAPGEF1	0.000000	0.003307
CNOT7	2.000000	0.006559
RGS9	16.000000	0.000993
PIK3AP1	1.000000	0.001586
CD84	0.000000	0.000588
ADCY6	8.000000	0.001485
ACACA	1141.500000	0.027873
CIDEB	77.000000	0.001404
TLR9	8.000000	0.003609
