gene	betweenness	eigenvector
NCF1	8.000000	0.003600
MSI2	49.000000	0.011263
F11R	170.500000	0.000977
NFATC3	3.000000	0.003538
STIP1	902.500000	0.053887
GABRA1	1.000000	0.008702
HAP1	10.000000	0.002564
SIVA1	10.500000	0.001135
PDK2	48.500000	0.001613
PDHA1	3612.500000	0.035522
PCSK9	24.000000	0.002132
BIRC5	48.500000	0.006223
SUFU	116.500000	0.002452
IRF4	42.500000	0.002524
IRF1	48.000000	0.003365
MAP2	19.000000	0.007506
PRKCZ	926.500000	0.017795
FOXM1	8.000000	0.005455
PHKA1	1.000000	0.004438
MX1	274.000000	0.003097
PIK3CA	1826.000000	0.007683
LRPAP1	2174.500000	0.010065
CLEC4M	12.500000	0.000427
NODAL	0.000000	0.000088
AR	6770.500000	0.036333
KLK3	2923.000000	0.001144
CD84	0.000000	0.000686
CFLAR	108.000000	0.002603
ATXN1L	415.500000	0.003327
BRIP1	116.000000	0.004863
SST	0.000000	0.000002
ITCH	3896.500000	0.017661
PTEN	9340.666667	0.033725
TRIM5	24.500000	0.004692
RNF125	0.000000	0.002332
IFIH1	0.000000	0.002756
MARCKS	1464.500000	0.027400
CHMP7	6.000000	0.004849
CHMP4B	1208.000000	0.038973
CAV3	35.000000	0.001001
VAPB	252.500000	0.020458
BANK1	0.000000	0.000837
ITGA4	4341.500000	0.030504
FCER2	0.000000	0.000215
HSPD1	1963.000000	0.046840
VGF	3.000000	0.002907
C3AR1	625.500000	0.001250
BIRC2	515.000000	0.007180
CASP9	5.000000	0.002216
DAB2IP	356.000000	0.004506
SIPA1	0.000000	0.004865
SMPD2	284.000000	0.000670
CSF3R	45.500000	0.000675
PTPRC	2795.500000	0.001060
GSK3A	528.000000	0.019452
SLAMF6	19.000000	0.000236
ITGAX	0.000000	0.000129
NLK	64.000000	0.002203
TACR1	686.500000	0.001087
CXCL11	22.000000	0.000044
HHEX	0.000000	0.001011
VWF	0.000000	0.001460
KISS1R	0.000000	0.000025
LIPE	0.000000	0.000734
LPAR1	104.000000	0.002124
LMO7	129.000000	0.015421
TRPV2	0.000000	0.000016
TIFA	11.000000	0.001636
CTSC	26.000000	0.004159
ACHE	0.000000	0.000305
DNAJC3	90.500000	0.011087
RALBP1	98.000000	0.005915
