gene	log2FC	pvalue	FDR
GCNT7	0.25598466172381884	0.009659470605056597	0.01631884447936501
PRKX	-0.18742791936978342	0.06138620885279851	0.08883426335715236
C14orf138	-0.0018345381526119198	0.9756865313006027	0.9937920545618509
C14orf139	-0.4474491272783485	0.011623127574306467	0.019395079145948516
GCNT3	-1.02983069199876	0.00031545647668917195	0.0006807746204642416
GCNT2	-0.10982271393266352	0.7427346998069564	0.7913765409315688
C14orf135	0.06587831325300364	0.32105541860445286	0.38597680192402584
LOC440957	0.4786372953351865	9.927915672228847e-11	6.320831138007212e-10
C14orf132	-1.2213076150756912	1.4309474729729531e-11	1.0593690147322925e-10
ZNF165	0.2688708758109364	0.01881526492519119	0.03015547842604009
LPCAT4	-0.7659306533827621	4.13986517191006e-14	5.318209774032923e-13
LPCAT2	-1.5313867547111535	5.503884515123171e-14	6.875427231075704e-13
LPCAT3	0.45966227216559297	1.2060873049775888e-06	3.843916959089863e-06
LPCAT1	0.6779703815261087	6.190405025695295e-17	1.5719000425059923e-15
SPNS1	0.4003593064565969	1.0588568228964643e-15	1.9738689453239748e-14
KRT20	1.33108093914118	7.988734006201268e-19	3.25174386439683e-17
MID1IP1	-0.06156344609205888	0.4065002698271797	0.47417032655165703
TAS2R42	0.024862125424776033	0.4381176471568704	0.5063769636606261
PIGA	-0.16494905004633864	0.131089556086957	0.17625650074886162
PIGB	0.028104603027498953	0.5008308251383664	0.5681066076196395
PIGC	-0.30123349552054357	1.2556725296505845e-06	3.992583104810577e-06
PIGF	0.2016942462156397	0.003348267811286211	0.006107055608929271
CALCRL	-0.48577795026259984	0.00039063583347871906	0.0008329272588280791
PIGH	0.24696733858510456	0.012717067245691964	0.02106203700490403
TBC1D3	0.5046728066110617	5.7451806759285093e-08	2.2673543679746793e-07
MGC70857	0.47318203583564866	3.0477227989187286e-07	1.07054464701515e-06
PIGK	0.03733175007722522	0.5068006507818579	0.5736210656839441
PIGL	0.7050710920605487	4.572292327658672e-09	2.1363573953995895e-08
PIGM	0.24240009267840357	0.00016385339305304664	0.000371455710408951
PIGN	0.0854676629595339	0.3142986967649949	0.38109988133905665
PIGO	0.2740223123262311	0.00040271448485998336	0.00085683261970601
PIGP	0.11864602255173651	0.028073183400318242	0.04344288155982609
C20orf185	0.0	1.0	1.0
C20orf186	-0.2538720033982082	0.034241904726981416	0.05203314046040744
PIGS	-0.02177598084646526	0.706374773646319	0.7585850830027859
ILKAP	0.18174536607970104	5.177465413008e-05	0.0001273047378021967
PIGU	0.2520922227371063	1.1392706385845637e-06	3.6427164754742686e-06
PIGV	0.0013569199876393157	0.9786854341309164	0.9959132301624345
PIGW	0.6882876197096062	2.3041333064888034e-15	3.981132078683675e-14
PIGX	0.2366546107506906	7.994570132868713e-06	2.2295352374651572e-05
PIGY	0.15462211152301464	0.0016212820339080575	0.003116394259729885
PIGZ	0.315856085881987	0.0011285512736045993	0.0022292066960259514
KRT25	-0.020986306765523627	0.41799435522343076	0.4861689482628687
TMEM80	0.21693973586654458	0.0015303888620030828	0.0029552711713307575
NDFIP2	-0.4395389094840958	3.810290453164786e-08	1.5422806944132178e-07
ELAC1	-0.27497850633301724	5.982929206427107e-06	1.7043898981769278e-05
ANKLE1	0.3159639867160906	0.005642166491824089	0.00991095287427577
OR52R1	1.1480043095458747	2.253466905929484e-25	4.37333541672172e-23
OR10A7	-0.026677015755329006	0.1651526664549551	0.21606827723997257
ALPP	-0.07367134692616573	0.40499945807663873	0.47262258245215394
RHPN1	1.549816906085888	8.20372030560211e-17	2.017150051612754e-15
INPPL1	0.38408735712079434	2.265034178749508e-15	3.921082130963594e-14
OLR1	0.7640383302440528	3.966256196191408e-05	9.900532478570327e-05
RHPN2	0.9033292709298717	1.2848420228251468e-06	4.078172635532621e-06
SRRM1	-0.06446684430027894	0.16742604661404634	0.2186739904580526
ITGAD	0.7010070358356489	2.9555979081819174e-08	1.2222769431552923e-07
MGST2	0.38734155081866284	2.8507754446049353e-07	1.006715599153405e-06
SRRM2	0.15032891566266393	0.03881177714508805	0.05842193822892201
RAET1L	0.18745524405313535	0.031020088323071366	0.047576392872585326
SRRM4	-1.219557059005254	6.738263889771736e-11	4.4009286030071644e-10
ITGAE	0.014527092987335344	0.8049925879373148	0.8474919544418035
PDK1	0.10035315106579468	0.13986294506772068	0.18671299434909575
SEPX1	-0.2031966713005815	0.005814479442482054	0.010198799641848767
PDK3	-0.3560524096385551	2.952694683886098e-06	8.83775428930711e-06
PDK2	-0.6456424003707077	7.408748121588362e-14	9.067373264124135e-13
EBP	-0.25856453506333565	0.05853323702752769	0.08497718675062396
PDK4	-2.1400207599629315	1.818469444123392e-10	1.1034687838488568e-09
SUN3	-0.002976807228915676	0.9179293456833156	0.9460461004159577
LNPEP	-0.7391099629286471	1.865781790629835e-06	5.7671548636419365e-06
MYO5C	0.2792390562249043	0.0019509760879125905	0.0036952262327351053
ALPI	-0.00605999382143961	0.9002666940691966	0.9306666442636762
ZNF292	-0.6067529579857887	1.1779614058719438e-13	1.3706728649910371e-12
SEC61A1	0.41715708217485314	3.70879207062563e-08	1.507164078508353e-07
SEC61A2	0.06251294408402686	0.2634677570882699	0.3262353405531865
ALPL	-0.17198417516219067	0.2860081322938289	0.35066971815989756
PTGS2	-2.1312510580784636	3.084848193708331e-09	1.4821454539886002e-08
PECR	-0.45091104417670014	2.910398971710086e-07	1.0252906328863927e-06
DDHD2	-0.5411385233240757	1.9680827467492728e-16	4.33856456220509e-15
TBC1D5	-0.3527915122026588	9.76995779228989e-12	7.466941018748701e-11
NAPRT1	0.35576465091133613	0.005024713831150832	0.008914232764764487
MGST3	-0.4884752239728165	1.2967204353027606e-08	5.671129855481047e-08
ZYG11A	1.145023486252705	2.1894313064931598e-05	5.691159875380928e-05
ORC2L	0.05854887241272344	0.16722997193704253	0.21849667408172377
RAB9BP1	0.004604618473895582	0.05225978949097172	0.07663734883118077
OGFRL1	-0.7675286762434279	5.618728291210296e-17	1.4470222528169075e-15
PUF60	0.2433332869941296	6.975482363403078e-09	3.1772649759205636e-08
SV2B	-1.6710802286067326	1.785224917980862e-07	6.499773671228143e-07
ZFAND1	0.35393912573369946	7.047880318709678e-09	3.2062102680509326e-08
MYO5B	-0.10780726753165659	0.07807744261465795	0.1105452900385751
TMEM82	-0.014861592523941897	0.7747990074211779	0.8203132598785545
PECI	0.6817053135619595	3.537366745178138e-18	1.2441456888866023e-16
OR11G2	0.02017495366079704	0.03465601228963857	0.052610915150690316
PPID	0.03071212542477042	0.3821277666662458	0.4493577762528413
PLVAP	0.1276785295026297	0.25766778920513467	0.31989188177763345
SLC39A13	0.011823447636702511	0.8167566329320073	0.8580484375741958
SLC39A10	-0.18162748687055874	0.18757867584046925	0.24156950456620688
SLC39A11	0.26802015755328235	8.338529232820388e-05	0.0001990404913294355
LOC96610	0.5162163036762326	0.015769297851868765	0.025651957649170744
SLC39A14	-0.38520480383069966	9.49079397899766e-12	7.294621567450252e-11
SCN2B	-1.956040956132215	1.1008105178212293e-21	9.13252573105429e-20
CEP120	-0.6361054603027547	1.0410107555281244e-23	1.3967536902567478e-21
MTMR10	-0.3628201266604911	4.061763634034692e-14	5.229517674431554e-13
EIF1AX	-0.04109647049738108	0.33157011569451666	0.3970365819048047
EIF1AY	0.08987110750696026	0.21534448584621263	0.2727696820718693
NTRK2	-1.2746595227062008	2.3039771846169814e-10	1.3727864058342846e-09
NTRK3	-1.3518242045103444	4.028032395135312e-09	1.8983805754696692e-08
ARHGAP23	-1.5672455514365122	1.5283129630487106e-23	1.9773458669539745e-21
ARHGAP22	-1.0524558001235684	2.330448446938616e-15	4.02020852719506e-14
ARHGAP21	-0.20857879981464222	0.00011106913622768258	0.000259454503301849
ARHGAP20	-1.9762821902996661	1.0445610617811295e-20	7.13980479209894e-19
ARHGAP27	-0.07721563175780055	0.4386090543839062	0.5068910254194271
ARHGAP26	-0.21526883688600584	0.011885356472787524	0.019808319912015766
ARHGAP25	-0.5122743589743584	1.4587200659001499e-05	3.914412265729094e-05
ARHGAP24	-0.9813166434970766	1.564753698759985e-13	1.7714315831378664e-12
NARFL	0.22852562557923406	9.45352646176111e-05	0.00022373894944777817
ARHGAP29	0.03812121563176163	0.6347698939263063	0.6932649188213343
ARHGAP28	0.423608426011743	0.011762326267328458	0.01961229853840529
NFKBIL2	0.7280443388940343	5.043175049337751e-15	7.97805333860301e-14
LOC150197	0.12347898517145417	0.3721937101150077	0.4393787241483774
PCGF1	0.4285244207599579	4.424767382780614e-13	4.558139518109925e-12
SYDE1	-0.9010480691998719	1.221849559919592e-10	7.666894351735639e-10
DDIT3	-0.05096087426630014	0.6282954696406433	0.6869532358203734
DDIT4	-1.180316697559471	6.416345453864456e-11	4.213464797135886e-10
NFKBIL1	0.5658351173926466	1.8502906426966814e-18	6.863125837825096e-17
SLCO4C1	-2.330928004324991	7.519418076139969e-08	2.9076706351059383e-07
RXFP3	0.2999327386468952	8.82072655103391e-06	2.4467497742888347e-05
COL19A1	-1.1599494902687675	1.9265138830357576e-05	5.060999004310518e-05
NKRF	0.13860566882916459	0.013654683502672717	0.022464290085838192
PCGF2	0.3805694084028506	3.696385620296999e-09	1.758858096383003e-08
TMEM84	0.42143863144887517	0.003604932510144547	0.006534090480362065
SMAD2	-0.2666746756255751	2.038870112954755e-15	3.568186857905359e-14
MYSM1	0.10710930645660266	0.4026302344215952	0.47021232844493016
ATG2A	0.08115682730924334	0.11052418167321376	0.15099645586731456
LOC162632	0.6653441921532304	0.006432442171049873	0.011197786563346152
ATG2B	0.052977517763368454	0.3229672598270418	0.387974818149695
PPPDE1	-0.382408951189376	1.541375562657863e-13	1.7576950513064325e-12
PPPDE2	0.3825313948100062	3.2142556296462223e-11	2.226420024410143e-10
BMP7	-1.5674399675625565	1.55385439374446e-21	1.216361931571376e-19
C1orf38	0.02576573988261277	0.8505364347525219	0.8888105743163854
BMP5	-2.8271872412727825	5.586226283979239e-07	1.8744870267886478e-06
BMP4	-0.8748401374729697	2.5819057105219134e-08	1.0767517752092154e-07
BMP3	-0.6759799119555128	0.019173524532841574	0.030670866149973833
BMP2	-1.0474380444856317	4.858715916966586e-10	2.7303270209717097e-09
BMP1	-0.34753012820513973	2.6312395129972776e-06	7.941213837060376e-06
GPR4	0.17567547111522863	0.20267264590454823	0.2586479938575188
C1orf31	0.17809423849243267	0.012146795927890005	0.02019309833085583
RLIM	0.015852556379355676	0.6906571259566134	0.7447228539434939
OR5R1	0.0014323293172690764	0.317797125504891	0.3830766592709937
PCGF6	-0.17407217330862057	0.0027478274641281686	0.005083995383068597
C1orf35	0.3043474745134418	2.0415198968915484e-06	6.27644646093843e-06
SSFA2	-0.5397199567500781	5.98229198603963e-08	2.349676519851055e-07
FEM1C	-0.21814707290700852	0.00021219055878965608	0.00047343194270703804
TERF2	-0.06810226289774235	0.021490990154092116	0.034007583138420665
TERF1	-0.22546613376584013	2.8269976587184508e-06	8.489585674206169e-06
ASF1B	1.117044238492432	1.7192125050845748e-10	1.051457597369677e-09
LOC344595	-0.9315555761507577	8.838763145759513e-15	1.3267911307750605e-13
GOLGA8E	-0.020021138399752857	0.3963268835135306	0.4636167716778832
NDUFAF1	-0.061469045412419376	0.28952672915253874	0.35450388603309946
GOLGA8G	0.0430170759962929	0.22684816592942364	0.28570933680854976
FEM1A	-0.03692804294099972	0.3744539514273816	0.4417199114417435
GOLGA8A	0.6813373957367972	0.00015992523396435494	0.00036346036025190493
GOLGA8C	0.09364538152610419	0.28655231512210844	0.3512972995766581
GOLGA8B	0.8746417438986711	6.154210588442162e-05	0.00014986323252339103
MARCH11	1.402642299969108	1.4395101360039802e-10	8.904152622704187e-10
MARCH10	0.6525539465554524	3.5213821770210377e-06	1.0393911325329884e-05
LOC100125556	0.2298781587889973	0.0007488171928858886	0.0015288644095968135
CT45A1	0.15256346153846148	0.006533988108681959	0.01136545818904538
PTOV1	0.35983004324992507	4.833941976460538e-06	1.4001940671687933e-05
CT45A3	0.10289959839357429	0.004240129758379652	0.007613039850333728
CT45A2	0.07248545721346927	0.01943240187930615	0.031052983917703166
CT45A5	0.1326109592215014	0.00029565485151019456	0.0006417369535076481
CT45A4	0.028123609823911024	0.21053577242881785	0.2674266917667593
RASSF7	0.852126227988883	8.264569041813263e-10	4.433333482054617e-09
CT45A6	0.038556943157244374	0.06227911324961363	0.09000656952085119
LPPR5	-0.6870545489650912	5.350112257538391e-05	0.00013125286685085157
LPPR4	0.24224284059314183	0.17619524288320887	0.22864357010802555
