gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
SEC31A	10.0	0.020068	2624.666667	0.017159	2614.666667	0.0029089999999999984	0.9845982142857143	0.98125	0.9661369977678571	71	2614.666667	-0.0029089999999999984
RHOH	1752.0	0.015998	53.0	0.020006	1699.0	0.004008000000000001	0.9736607142857143	0.99140625	0.9652933175223215	72	-1699.0	0.004008000000000001
SUMO2	1863.833333	0.030089	236.0	0.034381	1627.833333	0.004292000000000001	0.97265625	0.9922991071428572	0.9651659284319197	73	-1627.833333	0.004292000000000001
BRCA1	7125.0	0.055988	4116.5	0.053309	3008.5	0.002679000000000001	0.9877232142857143	0.9768973214285714	0.9649041623485332	74	-3008.5	-0.002679000000000001
RAD21	150.5	0.022264	3735.166667	0.019797	3584.666667	0.0024670000000000004	0.990625	0.9734375	0.9643115234374999	75	3584.666667	-0.0024670000000000004
MARCKS	1464.5	0.0274	100.5	0.032846	1364.0	0.0054459999999999995	0.9676339285714286	0.99609375	0.9638541085379465	76	-1364.0	0.0054459999999999995
TRIM28	10673.5	0.062927	9195.0	0.058405	1478.5	0.004521999999999998	0.9699776785714286	0.9928571428571429	0.9630492665816327	77	-1478.5	-0.004521999999999998
HIST1H2BG	1906.0	0.021172	39.5	0.024453	1866.5	0.003280999999999999	0.9767857142857143	0.9854910714285714	0.9626136001275509	78	-1866.5	0.003280999999999999
RBBP7	1927.5	0.029779	192.5	0.03326	1735.0	0.003480999999999998	0.9744419642857143	0.9875	0.9622614397321428	79	-1735.0	0.003480999999999998
UPF1	1663.5	0.035327	26.0	0.039012	1637.5	0.0036850000000000008	0.9728794642857143	0.9890625	0.9622385951450892	80	-1637.5	0.0036850000000000008
SRPRB	6014.666667	0.018704	452.0	0.020855	5562.666667	0.002151	0.9950892857142857	0.9667410714285715	0.9619936822385204	81	-5562.666667	0.002151
PIH1D1	1732.0	0.033275	8901.0	0.031211	7169.0	0.002064	0.9973214285714286	0.9643415178571428	0.9617584602200255	82	7169.0	-0.002064
SNRNP70	622.5	0.05658	1811.833333	0.048353	1189.333333	0.008226999999999998	0.9620535714285714	0.99921875	0.9613019670758929	83	1189.333333	-0.008226999999999998
CDC34	228.0	0.016992	5950.0	0.014877	5722.0	0.0021150000000000006	0.9953125	0.965625	0.9610986328125	84	5722.0	-0.0021150000000000006
RNF4	10345.5	0.047723	4462.5	0.045624	5883.0	0.0020990000000000036	0.9955357142857143	0.9649553571428572	0.9606475207270408	85	-5883.0	-0.0020990000000000036
