gene	betweenness_norm	eigenvector_norm	betweenness_tumor	eigenvector_tumor	diff_betweenness	diff_eigenvector	rank_bet	rank_eig	ensemble_score	final_rank	delta_betweenness	delta_eigenvector
ATG16L1	2853.5	0.045535	296.5	0.048484	2557.0	0.0029490000000000002	0.9847098214285714	0.98203125	0.9670158168247768	64	-2557.0	0.0029490000000000002
YWHAH	2123.0	0.035849	449.5	0.040224	1673.5	0.004375000000000004	0.9741071428571428	0.9924107142857143	0.9667143654336734	65	-1673.5	0.004375000000000004
SEC31A	10.0	0.020068	2637.666667	0.017159	2627.666667	0.0029089999999999984	0.98515625	0.98125	0.9666845703124999	66	2627.666667	-0.0029089999999999984
RHOH	1803.0	0.015998	50.0	0.020006	1753.0	0.004008000000000001	0.9747767857142857	0.99140625	0.9663997977120536	67	-1753.0	0.004008000000000001
SUMO2	1872.833333	0.030089	233.0	0.034381	1639.833333	0.004292000000000001	0.9734375	0.9922991071428572	0.965941162109375	68	-1639.833333	0.004292000000000001
BRCA1	7196.5	0.055988	4080.5	0.053309	3116.0	0.002679000000000001	0.9883928571428572	0.9768973214285714	0.9655583346619898	69	-3116.0	-0.002679000000000001
SMARCC1	375.5	0.027499	1868.5	0.022867	1493.0	0.004632000000000001	0.9714285714285714	0.9934151785714286	0.9650318877551021	70	1493.0	-0.004632000000000001
H2AFY	1550.5	0.026317	230.0	0.03175	1320.5	0.005433	0.9684151785714286	0.9959821428571428	0.964524224728954	71	-1320.5	0.005433
AGR2	1723.0	0.04581	483.0	0.05284	1240.0	0.0070300000000000015	0.965625	0.9987723214285714	0.9644395228794642	72	-1240.0	0.0070300000000000015
TRIM25	4552.0	0.075611	6397.0	0.072118	1845.0	0.003492999999999996	0.9763392857142857	0.9876116071428571	0.9642440110809949	73	1845.0	-0.003492999999999996
RAD21	153.5	0.022264	3741.166667	0.019797	3587.666667	0.0024670000000000004	0.9905133928571429	0.9734375	0.964202880859375	74	3587.666667	-0.0024670000000000004
TIPARP	75.0	0.074269	1262.0	0.062192	1187.0	0.012077000000000004	0.9641741071428571	0.9998883928571428	0.964066498425542	75	1187.0	-0.012077000000000004
CDC37	1339.5	0.029971	3611.5	0.027041	2272.0	0.002930000000000002	0.9818080357142858	0.9818080357142858	0.9639470189931443	76	2272.0	-0.002930000000000002
RBBP7	2033.0	0.029779	194.5	0.03326	1838.5	0.003480999999999998	0.9761160714285714	0.9875	0.9639146205357143	77	-1838.5	0.003480999999999998
SNRNP70	577.0	0.05658	1752.833333	0.048353	1175.833333	0.008226999999999998	0.9638392857142857	0.99921875	0.9630862862723214	78	1175.833333	-0.008226999999999998
UPF1	1661.5	0.035327	20.5	0.039012	1641.0	0.0036850000000000008	0.9735491071428571	0.9890625	0.9629009137834821	79	-1641.0	0.0036850000000000008
TMPO	197.0	0.047714	1587.0	0.04327	1390.0	0.0044439999999999966	0.9698660714285714	0.9927455357142857	0.9628302126514668	80	1390.0	-0.0044439999999999966
ANKRD17	1321.0	0.014274	3729.5	0.0115	2408.5	0.0027740000000000004	0.9831473214285714	0.9790178571428572	0.9625187838807399	81	2408.5	-0.0027740000000000004
SRPRB	6159.666667	0.018704	438.0	0.020855	5721.666667	0.002151	0.9955357142857143	0.9667410714285715	0.9624252630739797	82	-5721.666667	0.002151
