GeneName,Betweenness_Normal,eigenvector_norm,Betweenness_Tumor,eigenvector_tumor,logFC_betweenness,logFC_eigenvector,dice_score,DiCERank,EnsembleScore,DeltaBetweenness,DeltaEigenvector,Regulation
TPCN2,1e-06,0.001645,1e-06,0.001645,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MYH15,3.9e-05,0.001164,3.9e-05,0.001164,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PTTG1,3e-06,0.004806,3e-06,0.004806,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SPG21,1.1e-05,0.003505,1.1e-05,0.003505,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
HLA-A,8e-06,0.014806,8e-06,0.014806,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ATL2,1e-06,0.00574,1e-06,0.00574,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ATP5E,1e-06,0.002705,1e-06,0.002705,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MORF4L2,3e-06,0.010467,3e-06,0.010467,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FANCL,1e-06,0.001346,1e-06,0.001346,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MED30,1e-06,0.002787,1e-06,0.002787,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
NDUFAF1,4e-06,0.003671,4e-06,0.003671,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FBLN5,9e-06,0.003707,9e-06,0.003707,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TFAP4,3e-06,0.005442,3e-06,0.005442,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
DNAJA3,2e-06,0.020474,2e-06,0.020474,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TFIP11,4.6e-05,0.018633,4.6e-05,0.018633,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CKM,1e-06,0.001812,1e-06,0.001812,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
GIMAP8,1e-06,0.001252,1e-06,0.001252,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
MDM4,2e-06,0.005438,2e-06,0.005438,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
AMFR,2.7e-05,0.008696,2.7e-05,0.008696,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ATL3,5e-06,0.008386,5e-06,0.008386,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FANCC,1e-06,0.003636,1e-06,0.003636,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
UBASH3B,3e-06,0.010318,3e-06,0.010318,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
WNK3,1e-06,0.00307,1e-06,0.00307,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
HNRNPA3,3e-06,0.035902,3e-06,0.035902,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FBXL4,1e-06,0.004847,1e-06,0.004847,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ACAT1,1e-06,0.017161,1e-06,0.017161,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
NDFIP1,9e-06,0.003002,9e-06,0.003002,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
XAF1,1e-06,0.002037,1e-06,0.002037,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
BMP7,1e-06,0.001699,1e-06,0.001699,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
DIRAS1,1e-06,0.000742,1e-06,0.000742,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PCSK9,2e-06,0.001976,2e-06,0.001976,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C11orf30,2e-06,0.007059,2e-06,0.007059,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SLBP,3e-06,0.004176,3e-06,0.004176,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
AGPAT3,1e-06,0.001908,1e-06,0.001908,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CCDC96,5e-06,0.003148,5e-06,0.003148,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TRIM40,5e-06,0.003029,5e-06,0.003029,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
EVI2B,1e-06,0.000181,1e-06,0.000181,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ELAVL2,2e-06,0.009204,2e-06,0.009204,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
HDDC3,1e-06,0.001938,1e-06,0.001938,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PLA2G4D,1e-06,0.000535,1e-06,0.000535,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
HIST3H2BB,2e-06,0.010152,2e-06,0.010152,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
FAM168B,1e-06,0.001549,1e-06,0.001549,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TPM4,5e-06,0.014928,5e-06,0.014928,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SCYL1,3e-06,0.010964,3e-06,0.010964,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
RABAC1,3e-06,0.003854,3e-06,0.003854,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
TIMM10,3e-06,0.002095,3e-06,0.002095,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
CEP55,7e-06,0.013031,7e-06,0.013031,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
C19orf54,1e-06,0.001242,1e-06,0.001242,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
PHLDB3,1e-06,0.002699,1e-06,0.002699,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
ALDH6A1,1e-06,0.004083,1e-06,0.004083,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
SIGLEC12,3.3e-05,0.000624,3.3e-05,0.000624,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
GUF1,1e-06,0.004571,1e-06,0.004571,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
DOCK5,1e-06,0.006191,1e-06,0.006191,0.0,0.0,0.0,1762.0,0.3000964813367307,0.0,0.0,Decreased_Centrality
