source	target	direction
PTPN1	IRS1	KEGG
MAPK1	JUNB	KEGG
TJP1	TJAP1	KEGG
P3R3URF-PIK3R3	SRC	KEGG
GNA13	SRC	KEGG
NAIP	CASP1	KEGG
STAT1	COL1A1	KEGG
NOTCH1	DTX2	KEGG
SIAH1	CYCS	KEGG
DAXX	PARK7	KEGG
SRC	UNC5D	KEGG
NEDD4L	DLG3	KEGG
CEBPB	CIITA	KEGG
CASP12	CASP1	KEGG
CLTA	AP2M1	KEGG
LAT	FOS	KEGG
SKP2	CDKN1B	KEGG
MAPK1	TP53	KEGG
CXCR6	JAK2	KEGG
NR1H4	ABCB4	KEGG
FGFR1	FRS2	KEGG
SNCA	NDUFC2-KCTD14	KEGG
CBL	HIF1A	KEGG
PTPN6	CTNND1	KEGG
SOD1	TOMM40	KEGG
CALML6	ITPR1	KEGG
MTOR	SLC7A5	KEGG
MIR126	VEGFA	KEGG
MDM2	TP53	KEGG
CALCRL	GNAS	KEGG
NFKB1	TNFAIP3	KEGG
ZAP70	LCP2	KEGG
TJP1	TUBA1B	KEGG
MAPK14	BAX	KEGG
ADORA2A	GNAQ	KEGG
CADM4	CADM3	KEGG
SH2B2	CBL	KEGG
TLR2	NOS2	KEGG
OCLN	PARD3	KEGG
CD14	TLR4	KEGG
DUSP3	MAPK8	KEGG
WAS	ARPC5	KEGG
NR5A1	STAR	KEGG
MIR7-1	EGFR	KEGG
PRKCE	MAPK8	KEGG
CD47	SIRPB1	KEGG
AGAP2	P3R3URF-PIK3R3	KEGG
CALML6	CACNA1C	KEGG
FOS	CCL4L1	KEGG
CASP1	IL1B	KEGG
ADCY1	PRKACA	KEGG
BMP3	ACVR2B	KEGG
ONECUT1	NEUROG3	KEGG
CD86	CD28	KEGG
MIR21	PDCD4	KEGG
STAT3	VEGFD	KEGG
TICAM1	CCL5	KEGG
PRKACA	TRPV4	KEGG
GNRH1	GNRHR	KEGG
PDGFRA	JAK1	KEGG
DIAPH3	BAIAP2	KEGG
MIR193B	PLAU	KEGG
TNFSF18	TNFRSF18	KEGG
SP1	ZBTB17	KEGG
CTNNB1	TERT	KEGG
RHOA	BCAR1	KEGG
APC2	CTNNB1	KEGG
RPS6KB1	RPS6	KEGG
CSF1R	SHC2	KEGG
SHH	BOC	KEGG
AHNAK2	ACTB	KEGG
IRF5	CXCL8	KEGG
NPC1	OSBPL5	KEGG
AVPR1A	GNA11	KEGG
PTGER2	GNAS	KEGG
CEBPB	S100A9	KEGG
CALML6	NOS3	KEGG
RAPGEF6	RAP1A	KEGG
CACNA1I	TRPC1	KEGG
CACNA1A	INS	KEGG
MAPK14	TNF	KEGG
CEBPA	MYC	KEGG
ACTB	AFDN	KEGG
GIT1	PXN	KEGG
RHOA	GATA4	KEGG
LAT	MAPK8	KEGG
APOB	SORT1	KEGG
FOS	ITGB3	KEGG
RARA	CCNA2	KEGG
RIPK2	MAPK8	KEGG
ERO1A	ITPR1	KEGG
GCM1	PTH	KEGG
PPP1CA	GRIN2A	KEGG
GRAP2	LCP2	KEGG
SLAMF6	SH2D1B	KEGG
TFG	HRAS	KEGG
NFKBIZ	NFKB1	KEGG
MAPK1	SPHK2	KEGG
PRKG1	MAPK14	KEGG
GATA4	CLDN24	KEGG
F2	CXCR4	KEGG
ATP6AP1	PRKCA	KEGG
RAB9B	GCC2	KEGG
MIR129-1	PRKCA	KEGG
ACTL6B	PPARG	KEGG
HES1	NFKB2	KEGG
IL6R	IL6ST	KEGG
MERTK	MAPK1	KEGG
DIABLO	BIRC2	KEGG
MAPK7	NR4A1	KEGG
FOS	ACP5	KEGG
MAP2K7	MAPK8	KEGG
BMPR1A	SMAD1	KEGG
MIR15A	BCL2	KEGG
JUN	VEGFD	KEGG
TNF	IKBKB	KEGG
SESN3	PRKAG2	KEGG
PRKACA	CYP27B1	KEGG
GATA3	PTH	KEGG
AFDN	VCL	KEGG
EGFR	NCK2	KEGG
GZMB	CASP7	KEGG
JAK1	STAT3	KEGG
ADAM17	NOTCH1	KEGG
CD247	FCGR3B	KEGG
MAP3K10	MAP2K7	KEGG
CDC42	PAK4	KEGG
MTOR	RORC	KEGG
STAT1	IRGM	KEGG
HNF4A	SLC2A2	KEGG
IRF5	IL12A	KEGG
GABBR1	GNAI1	KEGG
EIF4EBP1	EIF4E	KEGG
BIRC2	RIPK1	KEGG
IKBKE	IRF7	KEGG
FOS	PDGFA	KEGG
MTOR	EIF4EBP2	KEGG
NFKB2	BCL2L1	KEGG
HOMER3	GRM1	KEGG
BCL2L1	BAK1	KEGG
MAPK14	PPP2CA	KEGG
APLNR	GNB5	KEGG
PPARG	FOS	KEGG
